Layer #,Time
0,2.09786
1,2.09741
2,0.00208999
3,0.0041429
4,4.1952
5,4.19456
6,2.09784
7,2.09741
8,0.00208999
9,0.0041429
10,4.1952
11,4.19456
12,2.09784
13,2.09741
14,0.00208999
15,0.0041429
16,4.1952
17,4.19456
18,2.09784
19,2.09741
20,0.00208999
21,0.0041429
22,4.1952
23,4.19456
24,2.09784
25,2.09741
26,0.00208999
27,0.0041429
28,4.1952
29,4.19456
30,2.09784
31,2.09741
32,0.00208999
33,0.0041429
34,4.1952
35,4.19456
36,2.09784
37,2.09741
38,0.00208999
39,0.0041429
40,4.1952
41,4.19456
42,2.09784
43,2.09741
44,0.00208999
45,0.0041429
46,4.1952
47,4.19456
48,2.09784
49,2.09741
50,0.00208999
51,0.0041429
52,4.1952
53,4.19456
54,2.09784
55,2.09741
56,0.00208999
57,0.0041429
58,4.1952
59,4.19456
60,2.09784
61,2.09741
62,0.00208999
63,0.0041429
64,4.1952
65,4.19456
66,2.09784
67,2.09741
68,0.00208999
69,0.0041429
70,4.1952
71,4.19456
72,2.09784
73,2.09741
74,0.00208999
75,0.0041429
76,4.1952
77,4.19456
78,2.09784
79,2.09741
80,0.00208999
81,0.0041429
82,4.1952
83,4.19456
84,2.09784
85,2.09741
86,0.00208999
87,0.0041429
88,4.1952
89,4.19456
90,2.09784
91,2.09741
92,0.00208999
93,0.0041429
94,4.1952
95,4.19456
96,2.09784
97,2.09741
98,0.00208999
99,0.0041429
100,4.1952
101,4.19456
102,2.09784
103,2.09741
104,0.00208999
105,0.0041429
106,4.1952
107,4.19456
108,2.09784
109,2.09741
110,0.00208999
111,0.0041429
112,4.1952
113,4.19456
114,2.09784
115,2.09741
116,0.00208999
117,0.0041429
118,4.1952
119,4.19456
120,2.09784
121,2.09741
122,0.00208999
123,0.0041429
124,4.1952
125,4.19456
126,2.09784
127,2.09741
128,0.00208999
129,0.0041429
130,4.1952
131,4.19456
132,2.09784
133,2.09741
134,0.00208999
135,0.0041429
136,4.1952
137,4.19456
138,2.09784
139,2.09741
140,0.00208999
141,0.0041429
142,4.1952
143,4.19456
144,128.092
